Sample_ID,Device,Concentration_mM,Scan_Rate_mVs,PC1_Score,PC2_Score,Device_Prediction_Score,Actual_Device_Code,OX_Voltage_V,OX_Current_A,RED_Voltage_V,RED_Current_A,Peak_Separation_V
47,Palmsens,0.5,100,1.4292712682857283,-0.7315739566599582,0.25948748954088763,0,0.110385808,-14.912684,0.190448,16.540736,0.080062192
48,Palmsens,0.5,100,1.2161766739369517,-0.7567100181673151,0.25947152375586957,0,0.110385808,-14.972808,0.190448,16.583009,0.080062192
49,Palmsens,0.5,100,0.7521642887069087,-1.1434430289508999,0.25945349170970233,0,0.110385808,-15.025417,0.190448,16.637497,0.080062192
50,Palmsens,0.5,100,1.2969526725229512,-0.9851201500498279,0.3039503511675432,0,0.100378032,-15.005689,0.190448,16.686348,0.090069968
81,Palmsens,1.0,100,0.8971957804575807,-0.9123325323804264,0.1757436656036962,0,0.110385808,-39.24984,0.200455,40.170492,0.0900691919999999
82,Palmsens,1.0,100,0.8364151066532777,-0.9618275208081213,0.1756576097295276,0,0.110385808,-39.494092,0.200455,40.433536,0.0900691919999999
83,Palmsens,1.0,100,0.826663434167387,-0.7504726124040679,0.17559014932563516,0,0.110385808,-39.663192,0.200455,40.649604,0.0900691919999999
84,Palmsens,1.0,100,0.880542922589451,-0.8947591847453634,0.1755346217366377,0,0.110385808,-39.907448,0.200455,40.781128,0.0900691919999999
85,Palmsens,1.0,100,1.1210006581125844,-0.8614893763639699,0.17546844910277903,0,0.110385808,-40.170492,0.200455,40.950228,0.0900691919999999
86,Palmsens,1.0,100,0.7408212365933557,-1.3081563451791545,0.0834895442285099,0,0.110385808,-40.367776,0.210463,41.015988,0.100077192
87,Palmsens,1.0,100,0.8627840657810142,-1.0266725927944722,0.08341118006766679,0,0.110385808,-40.536872,0.210463,41.279032,0.100077192
88,Palmsens,1.0,100,0.6445957548296117,-0.5904806751037526,0.08338187077440418,0,0.110385808,-40.546268,0.210463,41.401156,0.100077192
89,Palmsens,1.0,100,0.18510536452712778,-0.9243247754246471,0.08334730753214942,0,0.110385808,-40.649604,0.210463,41.504496,0.100077192
90,Palmsens,1.0,100,0.9016322143014563,-1.0425203084388626,0.08330254458650721,0,0.110385808,-40.724764,0.210463,41.6642,0.100077192
91,Palmsens,1.0,100,1.9204408382666633,-0.6915132881629333,0.3601324371228929,0,0.090370248,-30.503644,0.190448,29.197822,0.100077752
92,Palmsens,1.0,100,1.346048070504459,-0.7120020757138088,0.3600940280788463,0,0.090370248,-30.644562,0.190448,29.30116,0.100077752
93,Palmsens,1.0,100,1.0586760687248138,-0.9557856711965411,0.3600763942811216,0,0.090370248,-30.710322,0.190448,29.348134,0.100077752
94,Palmsens,1.0,100,1.0560350473472409,-0.9821740263248153,0.3600406128256309,0,0.090370248,-30.804264,0.190448,29.460864,0.100077752
95,Palmsens,1.0,100,1.4542952080307054,-0.8492240040079555,0.36002201766978315,0,0.090370248,-30.879422,0.190448,29.507836,0.100077752
96,Palmsens,1.0,100,1.6039002136237641,-1.0384931317593957,0.36001765609610237,0,0.090370248,-30.879422,0.190448,29.526626,0.100077752
97,Palmsens,1.0,100,1.3214856273076845,-0.7003318504865063,0.3600101525547093,0,0.090370248,-30.888816,0.190448,29.55481,0.100077752
98,Palmsens,1.0,100,1.5054091123846451,-0.9267978479497107,0.3600118178566538,0,0.090370248,-30.851238,0.190448,29.564204,0.100077752
