Time_s,Potential_V,Current_Total_uA,Current_Faradaic_uA,Current_Capacitive_uA,C_Ox_Surface_mM,C_Red_Surface_mM,Current_Density_mA_cm2
12.280000000000001,0.6719999999999999,375.84986754411136,375.8698677026815,-0.020000000000000285,10.0,0.0,0.3758698677026815
12.290000000000001,0.6709999999999999,376.7907177857476,376.81071794471467,-0.020000000000000285,10.0,0.0,0.37681071794471466
12.3,0.6699999999999999,377.7339230955965,377.7539232549615,-0.020000000000000285,10.0,0.0,0.3777539232549615
12.31,0.669,378.67948936869453,378.69948952845846,-0.019999999999998862,10.0,0.0,0.37869948952845844
12.32,0.668,379.62742251483377,379.6474226749976,-0.020000000000000285,10.0,0.0,0.37964742267499757
12.33,0.667,380.5777284585996,380.59772861916423,-0.020000000000000285,10.0,0.0,0.38059772861916424
12.34,0.666,381.5304131394073,381.55041330037386,-0.020000000000000285,10.0,0.0,0.38155041330037387
12.35,0.665,382.48548251153903,382.5054826729085,-0.020000000000000285,10.0,0.0,0.3825054826729085
12.36,0.6640000000000001,383.4429425441817,383.4629427059551,-0.020000000000000285,10.0,0.0,0.38346294270595505
12.370000000000001,0.6629999999999999,384.40279922146334,384.4227993836418,-0.020000000000000285,10.0,0.0,0.3844227993836418
12.38,0.6619999999999999,385.3650585424917,385.385058705076,-0.019999999999998862,10.0,0.0,0.385385058705076
12.39,0.661,386.3297265213903,386.34972668438166,-0.020000000000000285,10.0,0.0,0.38634972668438167
12.4,0.66,387.29680918733743,387.3168093507368,-0.020000000000000285,10.0,0.0,0.38731680935073676
12.41,0.659,388.26631258460264,388.28631274841104,-0.020000000000000285,10.0,0.0,0.388286312748411
12.42,0.658,389.23824277258564,389.258242936804,-0.020000000000000285,10.0,0.0,0.389258242936804
12.43,0.657,390.2126058258529,390.2326059904824,-0.019999999999998862,10.0,0.0,0.3902326059904824
12.44,0.6560000000000001,391.189407834177,391.20940799921846,-0.019999999999998862,10.0,0.0,0.39120940799921844
12.450000000000001,0.6549999999999999,392.16865490257345,392.18865506802797,-0.020000000000000285,10.0,0.0,0.39218865506802797
12.46,0.6539999999999999,393.15035315133974,393.17035331720854,-0.020000000000000285,10.0,0.0,0.3931703533172085
12.47,0.653,394.134508716093,394.15450888237694,-0.019999999999998862,10.0,0.0,0.39415450888237696
12.48,0.652,395.1211277478088,395.14112791450907,-0.020000000000000285,10.0,0.0,0.39514112791450906
12.49,0.651,396.1102164128594,396.13021657997695,-0.020000000000000285,10.0,0.0,0.39613021657997693
12.5,0.65,397.101780893052,397.12178106058775,-0.020000000000000285,10.0,0.0,0.39712178106058776
12.51,0.649,398.095827385668,398.1158275536231,-0.020000000000000285,10.0,0.0,0.39811582755362307
12.52,0.6480000000000001,399.092362103501,399.1123622718765,-0.020000000000000285,10.0,0.0,0.3991123622718765
12.530000000000001,0.6469999999999999,400.0913912748963,400.11139144369326,-0.020000000000000285,10.0,0.0,0.4001113914436933
12.540000000000001,0.6459999999999999,401.0929211437896,401.1129213130091,-0.019999999999998862,10.0,0.0,0.40111292131300913
12.55,0.645,402.0969579697457,402.1169581393889,-0.020000000000000285,10.0,0.0,0.40211695813938886
12.56,0.644,403.1035080279981,403.12350819806585,-0.020000000000000285,10.0,0.0,0.40312350819806586
12.57,0.643,404.11257760948797,404.13257777998143,-0.020000000000000285,10.0,0.0,0.4041325777799814
12.58,0.642,405.1241730209034,405.14417319182365,-0.020000000000000285,10.0,0.0,0.40514417319182366
12.59,0.641,406.138300584719,406.1583007560671,-0.019999999999998862,10.0,0.0,0.40615830075606707
12.6,0.6400000000000001,407.1549666392355,407.17496681101244,-0.019999999999999574,10.0,0.0,0.40717496681101245
12.61,0.6390000000000001,408.17417753861884,408.1941777108258,-0.020000000000000993,10.0,0.0,0.4081941777108258
12.620000000000001,0.6379999999999999,409.1959396529405,409.2159398255786,-0.019999999999999574,10.0,0.0,0.4092159398255786
12.63,0.637,410.2202593682172,410.2402595412873,-0.019999999999998862,10.0,0.0,0.4102402595412873
12.64,0.636,411.2471430864503,411.2671432599537,-0.020000000000000285,10.0,0.0,0.41126714325995367
12.65,0.635,412.2765972256665,412.29659739960414,-0.020000000000000285,10.0,0.0,0.4122965973996041
12.66,0.634,413.3086282199575,413.32862839433056,-0.020000000000000993,10.0,0.0,0.41332862839433054
12.67,0.633,414.3432425195203,414.36324269432976,-0.019999999999999574,10.0,0.0,0.4143632426943298
12.68,0.6320000000000001,415.3804465906976,415.40044676594465,-0.019999999999998862,10.0,0.0,0.4154004467659447
12.69,0.6310000000000001,416.4202469160183,416.4402470917041,-0.020000000000000993,10.0,0.0,0.41644024709170413
12.700000000000001,0.6299999999999999,417.462649994238,417.4826501703635,-0.019999999999999574,10.0,0.0,0.4174826501703635
12.71,0.629,418.50766234037906,418.5276625169454,-0.019999999999998862,10.0,0.0,0.4185276625169454
12.72,0.628,419.5552904857721,419.5752906627805,-0.020000000000000285,10.0,0.0,0.4195752906627805
12.73,0.627,420.6055409780966,420.625541155548,-0.020000000000000285,10.0,0.0,0.42062554115554796
12.74,0.626,421.65842038142137,421.6784205593169,-0.020000000000000285,10.0,0.0,0.4216784205593169
12.75,0.625,422.7139352762461,422.7339354545871,-0.019999999999999574,10.0,0.0,0.4227339354545871
12.76,0.6240000000000001,423.7720922595425,423.79209243832975,-0.019999999999999574,10.0,0.0,0.42379209243832977
12.77,0.6230000000000001,424.83289794479504,424.8528981240298,-0.020000000000000993,10.0,0.0,0.4248528981240298
12.780000000000001,0.6219999999999999,425.8963589620427,425.9163591417262,-0.020000000000000285,10.0,0.0,0.4259163591417262
12.790000000000001,0.621,426.9624819579203,426.98248213805357,-0.019999999999999574,10.0,0.0,0.42698248213805357
12.8,0.62,428.03127359570004,428.05127377628423,-0.020000000000000285,10.0,0.0,0.4280512737762842
12.81,0.619,429.10274055533324,429.1227407363693,-0.020000000000000285,10.0,0.0,0.4291227407363693
12.82,0.618,430.1768895334917,430.19688971498107,-0.020000000000000285,10.0,0.0,0.43019688971498105
12.83,0.617,431.2537272436101,431.27372742555383,-0.019999999999999574,10.0,0.0,0.4312737274255538
12.84,0.6160000000000001,432.3332604159278,432.3532605983268,-0.019999999999999574,10.0,0.0,0.4323532605983268
12.85,0.6150000000000001,433.41549579753047,433.43549598038607,-0.020000000000000285,10.0,0.0,0.43343549598038605
12.86,0.6140000000000001,434.50044015239274,434.520440335706,-0.020000000000000285,10.0,0.0,0.43452044033570597
12.870000000000001,0.613,435.5881002614203,435.6081004451925,-0.019999999999999574,10.0,0.0,0.43560810044519255
12.88,0.612,436.67848292249266,436.6984831067249,-0.020000000000000285,10.0,0.0,0.4366984831067249
12.89,0.611,437.7715949505048,437.7915951351982,-0.020000000000000285,10.0,0.0,0.43779159513519816
12.9,0.61,438.86744317741045,438.88744336256616,-0.020000000000000285,10.0,0.0,0.43888744336256613
12.91,0.609,439.9660344522647,439.9860346378837,-0.019999999999999574,10.0,0.0,0.43998603463788366
12.92,0.6080000000000001,441.06737564126644,441.0873758273502,-0.019999999999999574,10.0,0.0,0.4410873758273502
12.93,0.6070000000000001,442.17147362780184,442.1914738143513,-0.020000000000000285,10.0,0.0,0.4421914738143513
12.94,0.6060000000000001,443.2783353124867,443.2983354995033,-0.019999999999999574,10.0,0.0,0.4432983354995033
12.950000000000001,0.605,444.38796761321044,444.4079678006951,-0.019999999999999574,10.0,0.0,0.4444079678006951
12.96,0.604,445.50037746517836,445.52037765313224,-0.020000000000000285,10.0,0.0,0.44552037765313224
12.97,0.603,446.61557182095567,446.6355720093801,-0.020000000000000285,10.0,0.0,0.4466355720093801
12.98,0.602,447.7335576505108,447.7535578394069,-0.020000000000000285,10.0,0.0,0.4477535578394069
12.99,0.601,448.8543419412588,448.87434213062767,-0.019999999999999574,10.0,0.0,0.44887434213062766
13.0,0.6000000000000001,449.97793169810507,449.99793188794797,-0.019999999999999574,10.0,0.0,0.44999793188794796
13.01,0.5990000000000001,451.1043339434893,451.12433413380734,-0.020000000000000285,10.0,0.0,0.4511243341338073
13.02,0.5980000000000001,452.2335557174291,452.2535559082237,-0.019999999999999574,10.0,0.0,0.4522535559082237
13.030000000000001,0.597,453.36560407756446,453.38560426883646,-0.020000000000000285,10.0,0.0,0.45338560426883645
13.040000000000001,0.596,454.50048609920105,454.52048629095185,-0.020000000000000285,10.0,0.0,0.4545204862909519
13.05,0.595,455.63820887535536,455.6582090675862,-0.020000000000000285,10.0,0.0,0.4556582090675862
13.06,0.594,456.77877951679847,456.79877970951037,-0.020000000000000285,10.0,0.0,0.4567987797095104
13.07,0.593,457.92220515210033,457.9422053452948,-0.019999999999999574,10.0,0.0,0.4579422053452948
13.08,0.5920000000000001,459.0684929276753,459.0884931213533,-0.019999999999999574,10.0,0.0,0.4590884931213533
13.09,0.5910000000000001,460.21765000782545,460.2376502019882,-0.020000000000000285,10.0,0.0,0.4602376502019882
13.1,0.5900000000000001,461.3696835747862,461.38968376943507,-0.020000000000000285,10.0,0.0,0.46138968376943507
13.11,0.5890000000000001,462.5246008287713,462.5446010239073,-0.020000000000000285,10.0,0.0,0.4625446010239073
13.120000000000001,0.588,463.68240898801724,463.70240918364175,-0.019999999999999574,10.0,0.0,0.46370240918364175
13.13,0.587,464.8431152888288,464.8631154849431,-0.020000000000000285,10.0,0.0,0.4648631154849431
13.14,0.586,466.0067269856243,466.02672718222925,-0.020000000000000285,10.0,0.0,0.46602672718222926
13.15,0.585,467.1732513509803,467.1932515480775,-0.019999999999999574,10.0,0.0,0.4671932515480775
13.16,0.5840000000000001,468.3426956756781,468.36269587326865,-0.019999999999999574,10.0,0.0,0.4683626958732687
13.17,0.5830000000000001,469.51506726874845,469.5350674668336,-0.020000000000000285,10.0,0.0,0.4695350674668336
13.18,0.5820000000000001,470.69037345751775,470.71037365609874,-0.020000000000000285,10.0,0.0,0.47071037365609875
13.19,0.5810000000000001,471.8686215876534,471.88862178673145,-0.020000000000000285,10.0,0.0,0.47188862178673147
13.200000000000001,0.58,473.0498190232101,473.0698192227864,-0.019999999999999574,10.0,0.0,0.4730698192227864
13.21,0.579,474.2339731466755,474.2539733467515,-0.020000000000000285,10.0,0.0,0.47425397334675146
13.22,0.578,475.421091359017,475.4410915595937,-0.020000000000000285,10.0,0.0,0.4754410915595937
13.23,0.577,476.6111810797271,476.6311812808059,-0.019999999999998862,10.0,0.0,0.4766311812808059
13.24,0.5760000000000001,477.80424974687054,477.8242499484526,-0.019999999999999574,10.0,0.0,0.4778242499484526
13.25,0.5750000000000001,479.0003048171302,479.0203050192169,-0.020000000000000993,10.0,0.0,0.4790203050192169
13.26,0.5740000000000001,480.1993537658543,480.21935396844685,-0.020000000000000285,10.0,0.0,0.48021935396844684
13.27,0.5730000000000001,481.4014040871027,481.42140429020236,-0.019999999999999574,10.0,0.0,0.48142140429020236
