# LabPlot2 Data File
# PLS Analysis: Palmsens (Reference) vs STM32 (Target)
# Generated: 2025-08-28T03:24:18.334469
# Method: Enhanced Detector V4 Improved
# Note: scan_01 files excluded (system not stable)
#
# Column descriptions:
# device: Device name (Palmsens/STM32)
# device_code: Numeric device code (0=Palmsens, 1=STM32)
# concentration: Ferrocyanide concentration (mM)
# scan_rate: CV scan rate (mV/s)
# ox_voltage: Oxidation peak voltage (V)
# ox_current: Oxidation peak current (µA)
# red_voltage: Reduction peak voltage (V)
# red_current: Reduction peak current (µA)
# peak_separation_voltage: |ox_voltage - red_voltage| (V)
# current_ratio: ox_current / red_current
# midpoint_potential: (ox_voltage + red_voltage) / 2 (V)
#
device,device_code,concentration,scan_rate,electrode,scan_number,filename,ox_voltage,ox_current,ox_confidence,red_voltage,red_current,red_confidence,peak_separation_voltage,peak_separation_current,current_ratio,midpoint_potential
Palmsens,0,0.5,200.0,E2,2,Palmsens_0.5mM_CV_200mVpS_E2_scan_02,0.170432,23.020998,79.63883906197601,0.080362472,-25.167622,100.0,0.090069528,48.18862,-0.9147069198671213,0.125397236
Palmsens,0,0.5,200.0,E2,3,Palmsens_0.5mM_CV_200mVpS_E2_scan_03,0.18044,23.274646,81.01857444196838,0.080362472,-25.092466,100.0,0.10007752799999999,48.367112000000006,-0.9275551474295113,0.130401236
Palmsens,0,0.5,200.0,E2,4,Palmsens_0.5mM_CV_200mVpS_E2_scan_04,0.18044,23.47099,80.71535120452126,0.080362472,-25.064282,100.0,0.10007752799999999,48.535272,-0.9364317717140273,0.130401236
Palmsens,0,0.5,200.0,E2,5,Palmsens_0.5mM_CV_200mVpS_E2_scan_05,0.18044,23.583724,82.10382457591281,0.080362472,-25.0361,100.0,0.10007752799999999,48.619824,-0.9419887282763689,0.130401236
Palmsens,0,0.5,200.0,E2,6,Palmsens_0.5mM_CV_200mVpS_E2_scan_06,0.18044,23.657,81.24034870560862,0.080362472,-25.045492,100.0,0.10007752799999999,48.702492,-0.9445612008739936,0.130401236
Palmsens,0,0.5,200.0,E2,7,Palmsens_0.5mM_CV_200mVpS_E2_scan_07,0.18044,23.714306,79.98862545518277,0.080362472,-25.0361,100.0,0.10007752799999999,48.750406,-0.9472044767355938,0.130401236
Palmsens,0,0.5,200.0,E2,8,Palmsens_0.5mM_CV_200mVpS_E2_scan_08,0.18044,23.753762,80.9866375070252,0.080362472,-25.01731,100.0,0.10007752799999999,48.771072,-0.9494930510114796,0.130401236
Palmsens,0,0.5,200.0,E2,9,Palmsens_0.5mM_CV_200mVpS_E2_scan_09,0.18044,23.777248,81.21935330485556,0.080362472,-25.01731,100.0,0.10007752799999999,48.794557999999995,-0.9504318409932964,0.130401236
Palmsens,0,0.5,200.0,E2,10,Palmsens_0.5mM_CV_200mVpS_E2_scan_10,0.18044,23.815764,81.2641308784053,0.080362472,-25.01731,100.0,0.10007752799999999,48.833073999999996,-0.9519714149922595,0.130401236
Palmsens,0,0.5,200.0,E2,11,Palmsens_0.5mM_CV_200mVpS_E2_scan_11,0.18044,23.837372,80.49396863452408,0.080362472,-25.01731,100.0,0.10007752799999999,48.854682,-0.952835136951175,0.130401236
